object_id,creation_time,name,email,creation_source,last_session_creation_time,opted_in_to_mailing_list,enabled_for_marketing_drip,org_id,invited_by_user_id
1,41751.16181,Clausen August,AugustCClausen@yahoo.com,GUEST_INVITE,1398138810,1,0,11,10803
2,41593.15625,Poole Matthew,MatthewPoole@gustr.com,ORG_INVITE,1396237504,0,0,1,316
3,41352.96806,Bottrill Mitchell,MitchellBottrill@gustr.com,ORG_INVITE,1363734892,0,0,94,1525
4,41415.33958,Clausen Nicklas,NicklasSClausen@yahoo.com,GUEST_INVITE,1369210168,0,0,1,5151
5,41291.42639,Raw Grace,GraceRaw@yahoo.com,GUEST_INVITE,1358849660,0,0,193,5240
6,41625.15069,Cunha Eduardo,EduardoPereiraCunha@yahoo.com,GUEST_INVITE,1387424226,0,0,197,11241
7,41259.55833,Sewell Tyler,TylerSewell@jourrapide.com,SIGNUP,1356009872,0,1,37,
8,41486.23194,Hamilton Danielle,DanielleHamilton@yahoo.com,PERSONAL_PROJECTS,,1,1,74,
9,41583.16944,Amsel Paul,PaulAmsel@hotmail.com,PERSONAL_PROJECTS,,0,0,302,
10,41290.92222,Santos Carla,CarlaFerreiraSantos@gustr.com,ORG_INVITE,1401833283,1,1,318,4143
11,41634.16319,Paulsen Malthe,MaltheAPaulsen@gustr.com,SIGNUP,1388116554,0,0,69,
12,41746.99167,Mathiesen Lærke,LaerkeLMathiesen@cuvox.de,ORG_INVITE,,0,0,130,9270
13,41728.67986,Fry Alexander,AlexanderDFry@cuvox.de,ORG_INVITE,1396196378,0,0,254,11204
14,41193.67639,Rivera Bret,BretKRivera@gmail.com,SIGNUP,1350058473,0,0,0,
15,41471.89792,Theiss Ralf,RalfTheiss@hotmail.com,PERSONAL_PROJECTS,,0,0,175,
16,41316.42292,Engel René,ReneEngel@hotmail.com,PERSONAL_PROJECTS,,0,0,211,
17,41738.61042,Reynolds Anthony,AnthonyReynolds@jourrapide.com,GUEST_INVITE,1397313578,1,0,175,1600
18,41510.01806,Gregersen Celina,CelinaAGregersen@jourrapide.com,GUEST_INVITE,,0,0,2,3153
19,41418.62222,Collins Arlene,ArleneRCollins@gmail.com,SIGNUP,1369925796,1,0,0,
20,41704.49028,Helms Mikayla,lqyvjilf@uhzdq.com,SIGNUP,1401363998,0,0,58,
21,41296.51875,Hunter Alfie,AlfieHunter@gmail.com,PERSONAL_PROJECTS,1358857662,0,0,54,
22,41680.25,Myers Jordan,JordanMyers@gmail.com,ORG_INVITE,1392012046,0,0,7,2994
23,41138.35417,Souza Alice,AliceAraujoSouza@gustr.com,ORG_INVITE,1345278627,1,0,6,23
24,41526.93056,Woodruff James,JamesTWoodruff@cuvox.de,SIGNUP,1378765203,1,0,123,
25,41695.00764,Stone Elise,EliseStone@jourrapide.com,GUEST_INVITE,1393373473,1,0,81,6312
26,41483.03681,Wexler Florian,FlorianWexler@jourrapide.com,ORG_INVITE,,0,0,56,11857
27,41653.73264,Santos Luís,LuisPintoSantos@gmail.com,ORG_INVITE,1389807311,0,0,134,4189
28,41316.83333,Weissmuller Marko,MarkoWeissmuller@jourrapide.com,SIGNUP,1360872025,0,0,6,
29,41533.08889,Fernandes Evelyn,EvelynSousaFernandes@jourrapide.com,SIGNUP,1379383721,0,0,92,
30,41429.03056,Egger Leah,LeahEgger@jourrapide.com,GUEST_INVITE,1370306665,0,0,251,4835
31,41662.22292,Moffitt Lily,LilyMoffitt@jourrapide.com,SIGNUP,1390540902,0,0,283,
32,41381.68125,Perez Timothy,TimothyJPerez@yahoo.com,PERSONAL_PROJECTS,,1,1,98,
33,41709.27014,Araujo José,JoseMartinsAraujo@cuvox.de,GUEST_INVITE,1401517749,0,0,401,79
34,41673.87153,Holm Sara,SaraMHolm@hotmail.com,ORG_INVITE,,0,0,33,3721
35,41487.45486,Krueger Dieter,DieterKrueger@gustr.com,PERSONAL_PROJECTS,,0,0,59,
36,41492.38056,Andresen Peter,PeterTAndresen@cuvox.de,GUEST_INVITE,1375780095,1,0,109,6805
37,41177.60903,Carr-Glyn Ella,EllaCarr-Glyn@yahoo.com,SIGNUP,1348670243,0,0,276,
38,41784.29097,Eiffel Marko,MarkoEiffel@gmail.com,PERSONAL_PROJECTS,,0,0,208,
39,41527.96458,Winter Finley,FinleyWinter@cuvox.de,ORG_INVITE,,1,0,332,3335
40,41785.43681,Santiago Shirley,ShirleyJSantiago@gmail.com,GUEST_INVITE,,0,0,2,5377
41,41759.98472,Herman Christian,ChristianHerman@hotmail.com,ORG_INVITE,1398901097,0,0,64,9286
42,41224.79514,Pinto Giovanna,GiovannaCunhaPinto@cuvox.de,SIGNUP,1401044707,1,0,235,
